epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,172.432,2.14479,2.08597,1.50726,0.664,0.47815,0.51135,0.295,1.79577,1.5183,1.48668,0.00015842,0.00015842,0.00015842
2,336.492,1.95457,1.39911,1.3606,0.68658,0.45943,0.52535,0.30193,1.7972,1.422,1.49812,0.000310808,0.000310808,0.000310808
3,497.795,1.93682,1.33123,1.35009,0.59576,0.53969,0.55721,0.32674,1.77378,1.36289,1.49353,0.000456913,0.000456913,0.000456913
4,658.035,1.90455,1.27842,1.33349,0.61737,0.51257,0.5585,0.32063,1.74812,1.29798,1.47056,0.000447726,0.000447726,0.000447726
5,821.2,1.88486,1.22284,1.31536,0.67707,0.55043,0.58164,0.3361,1.71692,1.23498,1.455,0.000438301,0.000438301,0.000438301
6,981.777,1.8536,1.18416,1.2979,0.59619,0.62751,0.60659,0.37127,1.69507,1.21691,1.44543,0.000428876,0.000428876,0.000428876
7,1142.45,1.82891,1.15045,1.2872,0.65678,0.60794,0.63455,0.37488,1.68722,1.18219,1.42789,0.000419451,0.000419451,0.000419451
8,1302.42,1.8162,1.13191,1.28025,0.6538,0.62479,0.62532,0.37243,1.67966,1.1021,1.42917,0.000410026,0.000410026,0.000410026
9,1475.8,1.80731,1.10366,1.27024,0.64558,0.64128,0.63899,0.39151,1.66016,1.09793,1.4066,0.000400602,0.000400602,0.000400602
10,1641.77,1.77921,1.07763,1.26191,0.70371,0.60283,0.62891,0.3798,1.63597,1.04987,1.39353,0.000391177,0.000391177,0.000391177
11,1800.59,1.7658,1.05347,1.25206,0.67896,0.65114,0.64989,0.40037,1.64276,1.03803,1.40133,0.000381752,0.000381752,0.000381752
12,1959.56,1.75733,1.04074,1.24488,0.69513,0.65568,0.66509,0.4075,1.61896,1.01496,1.3795,0.000372327,0.000372327,0.000372327
13,2112.95,1.74663,1.02734,1.23688,0.69768,0.6247,0.67914,0.41904,1.61247,1.01501,1.37072,0.000362902,0.000362902,0.000362902
14,2271.02,1.73487,1.00934,1.22814,0.64327,0.68733,0.67041,0.42365,1.6183,1.00949,1.38061,0.000353478,0.000353478,0.000353478
15,2454.44,1.72494,0.99398,1.22775,0.67134,0.69188,0.68002,0.42409,1.60813,0.99122,1.37238,0.000344053,0.000344053,0.000344053
16,2619.48,1.71793,0.98568,1.22468,0.65091,0.69894,0.69338,0.43431,1.60002,0.9742,1.36997,0.000334628,0.000334628,0.000334628
17,2862.79,1.70756,0.98028,1.21886,0.6549,0.66181,0.6795,0.42987,1.58884,0.96624,1.36303,0.000325203,0.000325203,0.000325203
18,3022.12,1.69803,0.96645,1.21558,0.68407,0.67583,0.68401,0.43482,1.58071,0.95281,1.35554,0.000315778,0.000315778,0.000315778
19,3177.13,1.68347,0.95141,1.21079,0.69672,0.6259,0.68903,0.43166,1.59774,0.95609,1.36128,0.000306354,0.000306354,0.000306354
20,3330.57,1.68328,0.94206,1.20623,0.71685,0.62036,0.68721,0.43271,1.59135,0.93561,1.36565,0.000296929,0.000296929,0.000296929
21,3488.08,1.66861,0.93066,1.20048,0.74127,0.69404,0.7055,0.44027,1.58916,0.92422,1.36587,0.000287504,0.000287504,0.000287504
22,3649.48,1.66502,0.92604,1.20071,0.73059,0.69101,0.70664,0.45145,1.57982,0.91101,1.35342,0.000278079,0.000278079,0.000278079
23,3812.48,1.65408,0.91423,1.19128,0.74038,0.67975,0.71567,0.45261,1.56592,0.89854,1.3409,0.000268654,0.000268654,0.000268654
24,3964.95,1.64469,0.90815,1.19493,0.69428,0.72869,0.72123,0.45786,1.5743,0.90061,1.34882,0.00025923,0.00025923,0.00025923
25,4140.18,1.64282,0.90125,1.18668,0.71777,0.70101,0.71847,0.46333,1.56156,0.89011,1.33548,0.000249805,0.000249805,0.000249805
26,4294.17,1.63848,0.89469,1.1816,0.6954,0.73011,0.72616,0.46326,1.56086,0.87228,1.33684,0.00024038,0.00024038,0.00024038
27,4445.52,1.63039,0.88877,1.18173,0.72339,0.7049,0.73227,0.46678,1.56082,0.86649,1.33216,0.000230955,0.000230955,0.000230955
28,4610.05,1.61641,0.87475,1.17291,0.74407,0.7032,0.73419,0.4713,1.56241,0.86184,1.33715,0.00022153,0.00022153,0.00022153
29,4858.46,1.61689,0.86613,1.16838,0.69367,0.72921,0.72165,0.45787,1.55449,0.86745,1.32692,0.000212106,0.000212106,0.000212106
30,5029.14,1.60068,0.86103,1.17047,0.74127,0.71881,0.73623,0.47542,1.55387,0.8576,1.33023,0.000202681,0.000202681,0.000202681
31,5181.73,1.59906,0.85787,1.16367,0.75723,0.68874,0.72575,0.46738,1.55478,0.86064,1.32286,0.000193256,0.000193256,0.000193256
32,5333.71,1.59948,0.85433,1.16499,0.73457,0.71947,0.74664,0.48127,1.55514,0.8476,1.32283,0.000183831,0.000183831,0.000183831
33,5519.89,1.57834,0.8407,1.15566,0.73722,0.71288,0.73468,0.46796,1.55247,0.84505,1.317,0.000174406,0.000174406,0.000174406
34,5882.23,1.57051,0.83509,1.15667,0.69889,0.72401,0.72908,0.46693,1.54224,0.84049,1.32437,0.000164982,0.000164982,0.000164982
35,6035.05,1.56068,0.82651,1.14875,0.72345,0.72094,0.73828,0.47664,1.54297,0.83539,1.31513,0.000155557,0.000155557,0.000155557
36,6189.21,1.56214,0.81906,1.14347,0.71673,0.72628,0.73966,0.47704,1.54435,0.8352,1.31701,0.000146132,0.000146132,0.000146132
37,6343.47,1.55354,0.81516,1.14243,0.74497,0.71987,0.73595,0.47631,1.53938,0.83395,1.32149,0.000136707,0.000136707,0.000136707
