epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,212.078,2.13853,2.11474,1.52137,0.56392,0.46976,0.47731,0.28017,1.77839,1.4908,1.44517,0.00998487,0.00332829,0.00998487,0.00332829,0.00998487,0.00332829,0.00998487,0.00332829
2,400.922,1.96377,1.40292,1.35289,0.58129,0.52184,0.53137,0.31142,1.76962,1.48167,1.44062,0.019787,0.00659567,0.019787,0.00659567,0.019787,0.00659567,0.019787,0.00659567
3,805.173,2.00651,1.43361,1.37531,0.63664,0.41867,0.42835,0.23616,1.86964,1.62869,1.56518,0.0293912,0.00979706,0.0293912,0.00979706,0.0293912,0.00979706,0.0293912,0.00979706
4,972.07,2.03067,1.46241,1.40522,0.63202,0.42643,0.44526,0.24299,1.838,1.53873,1.56166,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,1144.09,1.99194,1.37538,1.38144,0.67684,0.48117,0.53331,0.30125,1.77858,1.47691,1.50859,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1309.11,1.94474,1.31156,1.35419,0.65998,0.4936,0.55353,0.32438,1.75306,1.33937,1.49973,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1474.64,1.91853,1.25719,1.33669,0.68084,0.53741,0.59467,0.36335,1.71274,1.25212,1.45479,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1639.54,1.89154,1.22711,1.32698,0.67723,0.54958,0.57874,0.33418,1.68584,1.217,1.43925,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1805.28,1.87198,1.19009,1.3143,0.6698,0.58314,0.58312,0.35022,1.67428,1.18013,1.43195,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1977.31,1.84964,1.15963,1.29933,0.61268,0.62195,0.62483,0.38441,1.66109,1.19745,1.41207,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,2142.5,1.83735,1.13719,1.28872,0.70537,0.62207,0.63072,0.37764,1.6413,1.10867,1.40124,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,2307.12,1.81978,1.11742,1.27756,0.70731,0.68101,0.6691,0.42383,1.63749,1.08142,1.38724,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,2472.44,1.80448,1.10386,1.27424,0.72101,0.62927,0.67005,0.41744,1.63506,1.09071,1.39738,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,2637.62,1.78746,1.08003,1.26788,0.74325,0.64301,0.66901,0.42888,1.60213,1.06403,1.38118,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,2802.8,1.78903,1.07007,1.26155,0.73084,0.66424,0.68511,0.41519,1.61425,1.0196,1.37814,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,2969,1.76915,1.05845,1.25679,0.76756,0.63114,0.67382,0.43171,1.59091,1.02348,1.3606,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,3146.4,1.7557,1.04313,1.25265,0.73804,0.67057,0.67762,0.41873,1.60213,1.02733,1.37074,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
